in:Building Type,in:Plot type,in:Building Depth,in:Building Length/m,in:Orientation,in:GlzRatio,out:surface to area ratio,out:Building height,out:Area of Quality View/m2,out:Helpful solar radiation/kWh,out:Hamrful solar radiation/kWh,out:Net solar radiation/kWh,out:Privacy Factor,out:Worst 10% Hamrful solar intensitykWh/m2,out:Public Area Sunlight hours,img
Block Buildings,One,Single load,9.6,0,0.3,0.37679,11.115963,875,135956,30278,105678,166234,5,83587.7,BuildingType2_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Block Buildings,Two,Single load,9.6,0,0.3,0.881322,32.912177,2759,392425,86129,306296,478554,5,60260.9,BuildingType2_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Block Buildings,Three,Single load,9.6,0,0.3,0.929538,34.388106,2716,405523,87416,318107,492939,4,60260.9,BuildingType2_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Block Buildings,Four,Single load,9.6,0,0.3,1.069478,65.879633,4039,510714,101485,409229,612199,3,62204.8,BuildingType2_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Block Buildings,One,Double load,9.6,0,0.3,0.454938,12.829945,1012,136338,30254,106084,166592,5,71924.3,BuildingType2_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Block Buildings,Two,Double load,9.6,0,0.3,0.641478,21.654906,1755,224753,50776,173977,275529,4,62204.8,BuildingType2_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Block Buildings,Three,Double load,9.6,0,0.3,0.68333,22.714844,1742,233332,51906,181426,285238,3,62204.8,BuildingType2_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Block Buildings,Four,Double load,9.6,0,0.3,0.82969,37.297982,2248,278930,61063,217867,339993,2,68036.5,BuildingType2_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Block Buildings,One,Single load,9.6,0,0.4,0.37679,11.115963,1164,179169,40121,139048,219290,5,83587.7,BuildingType2_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Block Buildings,Two,Single load,9.6,0,0.4,0.881322,32.912177,3638,510646,112900,397746,623546,4,60260.9,BuildingType2_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Block Buildings,Three,Single load,9.6,0,0.4,0.929538,34.388106,3608,525620,114329,411291,639949,4,60260.9,BuildingType2_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Block Buildings,Four,Single load,9.6,0,0.4,1.069478,65.879633,5397,671194,133867,537327,805061,3,62204.8,BuildingType2_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Block Buildings,One,Double load,9.6,0,0.4,0.454938,12.829945,1344,177456,39844,137612,217300,5,71924.3,BuildingType2_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Block Buildings,Two,Double load,9.6,0,0.4,0.641478,21.654906,2300,293587,66718,226869,360305,4,62204.8,BuildingType2_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Block Buildings,Three,Double load,9.6,0,0.4,0.68333,22.714844,2310,313226,70029,243197,383255,3,62204.8,BuildingType2_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Block Buildings,Four,Double load,9.6,0,0.4,0.812286,23.088003,2016,262595,62578,200017,325173,1,64148.7,BuildingType2_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Block Buildings,One,Single load,9.6,0,0.5,0.37679,11.115963,1463,226013,50167,175846,276180,5,83587.7,BuildingType2_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.5_4.png
Block Buildings,Two,Single load,9.6,0,0.5,0.881322,32.912177,4519,644408,141778,502630,786186,4,60260.9,BuildingType2_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.5_4.png
Block Buildings,Three,Single load,9.6,0,0.5,0.929538,34.388106,4532,665338,144115,521223,809453,4,60260.9,BuildingType2_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.5_4.png
Block Buildings,Four,Single load,9.6,0,0.5,1.069478,65.879633,6783,848412,169528,678884,1017940,3,62204.8,BuildingType2_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.5_4.png
Block Buildings,One,Double load,9.6,0,0.5,0.454938,12.829945,1652,217262,49186,168076,266448,5,71924.3,BuildingType2_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.5_4.png
Block Buildings,Two,Double load,9.6,0,0.5,0.641478,21.654906,2836,363051,82696,280355,445747,4,62204.8,BuildingType2_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.5_4.png
Block Buildings,Three,Double load,9.6,0,0.5,0.68333,22.714844,2910,386370,86765,299605,473135,3,62204.8,BuildingType2_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.5_4.png
Block Buildings,Four,Double load,9.6,0,0.5,0.82969,37.297982,3804,468257,102318,365939,570575,2,68036.5,BuildingType2_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.5_4.png
Row Buildings,One,Single load,9.6,0,0.3,0.764002,111.895685,5204,632109,120180,511929,752289,7,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,0,0.3,0.811518,57.447842,4533,489463,108472,380991,597935,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,0,0.3,0.919642,62.544364,4394,499278,106306,392972,605584,5,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,0,0.3,1.02185,34.753692,2326,354337,83830,270507,438167,3,58317,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,0,0.3,0.5062,62.397646,3142,350625,69729,280896,420354,6,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,0,0.3,0.5946,32.698823,2527,276232,64549,211683,340781,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,0,0.3,0.69006,35.478744,2309,285243,66175,219068,351418,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,0,0.3,0.812286,23.088003,1504,193299,45983,147316,239282,1,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,15,0.3,0.759466,108.188894,5223,656623,116057,540566,772680,6,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,15,0.3,0.922228,68.140262,5241,587529,121623,465906,709152,5,71924.3,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,15,0.3,0.91496,60.517484,4176,502832,103557,399275,606389,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,15,0.3,1.034012,36.814316,2500,364536,84145,280391,448681,2,62204.8,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,15,0.3,0.504392,60.37576,3168,364858,67503,297355,432361,6,85531.6,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,15,0.3,0.604234,35.30738,2509,303302,67007,236295,370309,5,69980.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,15,0.3,0.705102,34.373173,2473,304268,67617,236651,371885,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,15,0.3,0.862074,25.071629,1772,233010,54080,178930,287090,1,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,30,0.3,0.77267,97.398045,5309,658111,108586,549525,766697,7,93307.2,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation60_GlzRatio0.3_4.png
